Guatemala arrests Twitter user for inciting financial panic;-49.8693;-45.4837;no cebo
Physics Nobel Prize awarded for insights into light;-48.6654;-44.2028;no cebo
How Much Do You Actually Remember About 2006;-47.9119;-73.4837;cebo
What Your Star Sign Actually Says About You  According To Science;-78.9789;-103.101;cebo
Advertisers Change Game Plans for Super Bowl;-55.7939;-55.8999;cebo
12 Horrifyingly Cute Zombie Treats You Can Actually Make;-49.2004;-69.4724;cebo
15 Big Boob Charts All Busty Girls Will Understand;-54.4524;-65.7118;cebo
Clerics May Be Key to Outcome of Unrest;-47.1824;-45.1038;no cebo
21 Times Michael Clifford Was The Realest Person On Twitter;-58.0611;-66.1701;cebo
3 Die in Turkey in Shootout Between Police and Militant;-64.5131;-57.3325;no cebo
"Which ""Adventure Time"" Character Matches Your Zodiac Sign";-55.4468;-74.8838;cebo
Four people die after contracting H1N1 swine flu virus in West Midlands  England;-115.482;-97.7938;no cebo
Oil from Gulf spill reaches major current;-72.6405;-62.688;no cebo
JPMorgan Pulled Cash Early From Madoff-Linked Funds;-43.4278;-39.5262;no cebo
Space Shuttle Discovery launch on indefinite hold;-64.8841;-54.9416;no cebo
Three Funds That Found Bargains;-39.1178;-37.655;no cebo
Instafamous: The Eyebrow Queen;-20.3902;-22.9605;cebo
This Instagram Account Is Recreating 2015's Greatest Hits With Barbies;-67.919;-77.4397;cebo
Can You Handle An Evening Of Menstruation;-40.0606;-50.1349;cebo
Small British island gets first democratic election;-63.3987;-54.3584;no cebo
22 Tweets About Funerals You'll Feel OK Laughing At;-51.2547;-67.556;cebo
Former Pennsylvania Governor George Leader dies aged 95;-70.371;-54.3714;no cebo
When Abuela Buys You Christmas Gifts;-33.7749;-47.8236;cebo
Swiss mountain claims two lives;-35.544;-31.9241;no cebo
"Which ""South Park"" Character Are You Actually";-52.027;-69.1605;cebo
Media reports exaggerate cell phone risks again;-49.4907;-44.2513;no cebo
Here Are 16 Truly Useful Tools For Beginner Cooks;-40.7623;-46.5924;cebo
15 Times Kate Winslet Didn't Give AF About What Anyone Thought;-75.8571;-97.9439;cebo
Josh Beckett Maintains Order  and His Image  on the Mound;-56.6846;-57.3225;cebo
"13 Women Show Off Their Most ""Unflattering"" Outfits";-52.3363;-59.469;cebo
22 Times Tumblr Was Actually Better Than Sex Ed;-65.3482;-79.4516;cebo
How Well Do You Remember These PlayStation Games;-53.1828;-76.5295;cebo
Which Iconic Britney Spears Song Are You Based On Three Questions;-84.7188;-107.984;cebo
23 Insanely Clever Responses To Ex Texts;-46.1725;-51.222;cebo
US Secretary of Homeland Security Tom Ridge resigns;-63.9702;-54.7443;no cebo
Tom Hardy's Wife Revealed She's Pregnant At His Movie Premiere;-80.9251;-88.5348;cebo
Home-invaders pose as NYC police;-43.4834;-39.235;no cebo
UK's highest court to rule on use of information extracted under torture;-93.8151;-84.8414;no cebo
Manhattan Is Awash in Sublet Office Space;-39.463;-38.8476;no cebo
Rice and Straw arrive unannounced in Baghdad;-35.4518;-30.995;no cebo
Scuderi  an Unlikely Savior  Emerges for the Penguins;-33.4447;-33.7489;cebo
21 Photos That Perfectly Sum Up Grad School;-49.7555;-61.5213;cebo
17 Branches Of Engineering Summed Up Cleverly In Minimalist Posters;-43.6213;-42.8192;no cebo
Obama Goes to Lawmakers on Budget;-47.2367;-40.3424;no cebo
This Is What Happens When You And Your Best Friend Have No Boundaries;-84.2916;-115.814;cebo
2008 Taste of Taiwan Cuisine: A complex to redefine Taiwan's MICE industry;-77.011;-71.441;no cebo
Two time Tour de France winner Laurent Fignon dies at age 50;-86.3094;-73.049;no cebo
This Two-Minute Microwave Mug Cake Is The Ultimate Lazy Dessert;-66.0417;-75.6424;cebo
Another Round  Episode 30: Frimfram Fittlesworth;-35.005;-35.3899;cebo
12 Hacks To Make Netflix  Hulu And Amazon Prime Streaming Better;-71.289;-78.1358;cebo
21 Things New Parents Take A Little Getting Used To;-69.8312;-79.7935;cebo
Do You Belong With Anakin Skywalker Or Kylo Ren;-46.0996;-60.5352;cebo
9 Things TV And Movies Actually Have To Understand About Latinos In 2016;-71.388;-90.9046;cebo
Iraqi groups call for US pull-out;-56.6784;-51.8848;no cebo
55 Thoughts Everyone Has While Eating At Olive Garden;-55.9717;-65.534;cebo
British charities form fund recovery group;-31.3948;-27.7178;no cebo
Census Finds Fewer Homes Have a Child in Residence;-52.8404;-48.2186;no cebo
Cheers Are Loudest for the Knicks Wearing Ties;-47.4353;-47.7961;cebo
This Guy Got A Very Unfortunate Tattoo And Now He Can't Remove It;-103.314;-127.134;cebo
Search and rescue beacons soon to make the digital jump;-65.0427;-63.3957;no cebo
Russian troops advance into Georgia  violating truce;-43.0946;-36.2452;no cebo
21 Times American Films Gave British Teens Unrealistic Expectations;-60.8432;-63.6633;cebo
Mass graves found in Lebanon;-33.1758;-28.0875;no cebo
"27 Of The Best ""Meanwhile In Canada"" Tweets";-43.6457;-49.4265;cebo
Musician John Martyn dies at age 60;-43.163;-37.2032;no cebo
Avalanche in Vail  Colorado kills one;-34.0363;-28.9018;no cebo
NBC Universal Emerges as a Bright Spot for G.E.;-56.0679;-50.2746;no cebo
"Listen To Ariana Grande's New EP ""Christmas & Chill""";-53.4761;-59.5634;cebo
Oil in Alberta spill may be carcinogenic;-51.0461;-44.5539;no cebo
Russian prime minister resigns at President Vladimir Putin's request;-77.072;-62.7209;no cebo
British People Guess Posh Crisp Flavours;-32.8785;-36.1613;cebo
The Definitive Ranking Of Dudes Who Deserve Tina Belcher's Love;-54.5585;-62.9179;cebo
